currency,industry,environment_grade,environment_level,social_grade,social_level,governance_grade,governance_level,environment_score,social_score,governance_score,total_score,total_grade,total_level
USD,Media,A,High,BB,Medium,BB,Medium,510,316,321,1147,BBB,High
USD,Automobiles,A,High,BB,Medium,B,Medium,510,303,255,1068,BBB,High
USD,Trading Companies and Distributors,B,Medium,BB,Medium,B,Medium,255,385,240,880,BB,Medium
USD,Consumer products,A,High,B,Medium,BB,Medium,570,298,303,1171,BBB,High
USD,Media,BBB,High,BB,Medium,B,Medium,492,310,250,1052,BBB,High
USD,Hotels Restaurants and Leisure,A,High,BB,Medium,BB,Medium,547,318,313,1178,BBB,High
USD,Consumer products,A,High,BB,Medium,BB,Medium,560,350,345,1255,A,High
CNY,Diversified Consumer Services,B,Medium,B,Medium,B,Medium,203,200,205,608,B,Medium
USD,Airlines,B,Medium,B,Medium,B,Medium,270,211,265,746,B,Medium
USD,Insurance,B,Medium,B,Medium,BB,Medium,220,221,300,741,B,Medium
USD,Communications,BB,Medium,B,Medium,B,Medium,311,256,218,785,BB,Medium
USD,Building,A,High,BB,Medium,B,Medium,500,300,223,1023,BBB,High
USD,Technology,BB,Medium,B,Medium,B,Medium,355,281,255,891,BB,Medium
USD,Electrical Equipment,BBB,High,B,Medium,B,Medium,410,286,240,936,BBB,High
USD,Logistics and Transportation,A,High,B,Medium,B,Medium,520,243,237,1000,BBB,High
USD,,B,Medium,B,Medium,B,Medium,205,200,200,605,B,Medium
USD,Biotechnology,B,Medium,B,Medium,B,Medium,200,201,203,604,B,Medium
USD,Biotechnology,B,Medium,BB,Medium,BB,Medium,205,306,310,821,BB,Medium
USD,Hotels Restaurants and Leisure,A,High,A,High,BBB,High,505,570,400,1475,A,High
USD,Biotechnology,B,Medium,B,Medium,B,Medium,200,222,290,712,B,Medium
USD,Health Care,A,High,BB,Medium,BB,Medium,500,324,305,1129,BBB,High
USD,Biotechnology,B,Medium,B,Medium,B,Medium,205,201,200,606,B,Medium
USD,Life Sciences Tools and Services,B,Medium,B,Medium,B,Medium,205,224,230,659,B,Medium
USD,Banking,B,Medium,BB,Medium,BB,Medium,298,300,300,898,BB,Medium
USD,Biotechnology,B,Medium,B,Medium,BB,Medium,203,204,338,745,B,Medium
USD,Biotechnology,B,Medium,B,Medium,B,Medium,220,212,205,637,B,Medium
USD,Biotechnology,B,Medium,B,Medium,BB,Medium,230,230,305,765,BB,Medium
USD,,B,Medium,B,Medium,BB,Medium,200,205,300,705,B,Medium
USD,Health Care,B,Medium,B,Medium,B,Medium,255,254,235,744,B,Medium
USD,Biotechnology,B,Medium,B,Medium,BB,Medium,215,211,305,731,B,Medium
USD,Life Sciences Tools and Services,A,High,BB,Medium,BB,Medium,540,354,345,1239,A,High
USD,Banking,B,Medium,BB,Medium,B,Medium,290,300,250,840,BB,Medium
USD,,B,Medium,B,Medium,B,Medium,225,211,215,651,B,Medium
USD,Biotechnology,B,Medium,B,Medium,B,Medium,230,288,285,803,BB,Medium
USD,Health Care,BB,Medium,B,Medium,B,Medium,330,231,220,781,BB,Medium
USD,Technology,A,High,BB,Medium,BB,Medium,500,327,300,1127,BBB,High
USD,Semiconductors,A,High,BB,Medium,B,Medium,515,306,260,1081,BBB,High
CHF,Biotechnology,B,Medium,B,Medium,BB,Medium,250,296,305,851,BB,Medium
USD,Biotechnology,B,Medium,B,Medium,BB,Medium,215,222,305,742,B,Medium
USD,Semiconductors,BBB,High,B,Medium,BB,Medium,410,232,325,967,BBB,High
USD,Biotechnology,B,Medium,BB,Medium,BB,Medium,230,307,310,847,BB,Medium
USD,Banking,B,Medium,B,Medium,B,Medium,220,219,215,654,B,Medium
USD,Pharmaceuticals,B,Medium,B,Medium,B,Medium,230,207,220,657,B,Medium
USD,Pharmaceuticals,B,Medium,B,Medium,BB,Medium,200,237,300,737,B,Medium
USD,Financial Services,A,High,BB,Medium,BB,Medium,540,328,315,1183,BBB,High
USD,Financial Services,B,Medium,B,Medium,B,Medium,200,200,275,675,B,Medium
USD,Commercial Services and Supplies,B,Medium,B,Medium,BB,Medium,235,262,315,812,BB,Medium
USD,Biotechnology,B,Medium,BB,Medium,BB,Medium,295,301,305,901,BBB,High
USD,Biotechnology,B,Medium,BB,Medium,BB,Medium,235,301,305,841,BB,Medium
USD,Technology,B,Medium,B,Medium,B,Medium,200,221,200,621,B,Medium
USD,Biotechnology,BB,Medium,B,Medium,BB,Medium,365,283,305,953,BBB,High
USD,Biotechnology,B,Medium,B,Medium,BB,Medium,240,264,320,824,BB,Medium
