industry,weighted_score,environment_score_norm,social_score_norm,governance_score_norm,env_social_interaction,env_gov_interaction,social_gov_interaction,environment_grade,environment_level,social_grade,social_level,governance_grade,governance_level,total_grade,total_level,buy_signal
30,0.8043876467890275,0.7254584657491813,0.41800718993217384,0.8987056809926393,0.3032468546803214,0.6519736444929932,0.3756654362878138,3,1,3,3,1,2,3,0,1
3,0.44512897625691555,0.7254584657491813,0.18984857835370325,-0.5055808848081631,0.13772725837714078,-0.3667779330050436,-0.09598381222363717,3,1,3,3,0,2,3,0,1
43,-0.5197782983617344,-1.0331216281162794,1.6290028975409792,-0.8247369224901637,-1.682958125713673,0.8520535521306477,-1.3434988364455067,0,2,3,3,0,2,2,1,0
13,0.8177868296924362,1.1392420172469366,0.10209526620813765,0.5157184357742386,0.11631121702632174,0.5875281111028783,0.05265241098881523,3,1,2,3,1,2,3,0,1
30,0.23606665623161438,0.6013234002998546,0.3127032153574951,-0.6119662307021633,0.1880357607434667,-0.36798961471451014,-0.1913638080307731,2,1,3,3,0,2,3,0,0
21,0.931172339564468,0.9806249891727972,0.4531085147904001,0.7284891275622389,0.4443295324104383,0.714374642828221,0.3300846266306804,3,1,3,3,1,2,3,0,1
13,1.2197623167947147,1.0702780919973107,1.01472971252202,1.4093553412838402,1.0860429806110472,1.5084021456154872,1.4301147403023247,3,1,3,3,1,2,0,0,1
15,-1.581239051436563,-1.391734039414334,-1.6178696518449482,-1.569434343748165,2.2516442658080322,2.184235198820218,2.539140195313349,0,2,2,3,0,2,1,1,0
1,-1.148755507393051,-0.9296757402418405,-1.424812365124704,-0.29281019302016276,1.3246134902530367,0.272218532946376,0.4171995836496792,0,2,2,3,0,2,1,1,0
24,-1.0605349918582079,-1.27449536648997,-1.2493057408335728,0.4518872282378385,1.5922343780217079,-0.5759281785651207,-0.5645453084469026,0,2,2,3,1,2,1,1,0
11,-0.9122119430934028,-0.6469236467183743,-0.6350325558146135,-1.2928324444237644,0.4108175767924793,0.8363638795424517,0.8209906914224774,1,2,2,3,0,2,2,1,0
8,0.2932623419308782,0.6564945404995554,0.1371965910663639,-1.1864470985297644,0.09006881301021796,-0.7788960427763283,-0.16277649739886205,3,1,3,3,0,2,3,0,0
39,-0.5573735264254324,-0.34348237562002026,-0.1962659950867854,-0.5055808848081631,0.06741391024583628,0.17365812338197967,0.09922833545373155,1,2,2,3,0,2,2,1,0
16,-0.27707037167952525,0.03581921325292221,-0.10851268294121981,-0.8247369224901637,-0.003886838930918286,-0.029541427704233948,0.08949441618009252,2,1,2,3,0,2,3,0,0
27,0.11671057381240292,0.7944223909988072,-0.863191167393084,-0.8885681300265638,-0.6857383910894654,-0.7058984184210417,0.7670041614659192,3,1,2,3,0,2,3,0,0
7,-1.5908362623315666,-1.377941254364409,-1.6178696518449482,-1.675819689642165,2.2293293374613374,2.3091810852340995,2.711257817836279,0,2,2,3,0,2,1,1,0
6,-1.5929956347829426,-1.412423216989222,-1.6003189894158352,-1.611988482105765,2.2603276952396545,2.2768099576453973,2.579695778633464,0,2,2,3,0,2,1,1,0
6,-0.6678983292037606,-1.377941254364409,0.24250056564104264,0.6646579200258389,-0.334151533603497,-0.9158595680436434,0.16117992156406483,0,2,3,3,1,2,2,1,0
21,1.667555257833236,0.6909765031243683,4.875875446926907,2.579594146117842,3.3691153659875206,1.7824389425645972,12.577779760092366,3,1,0,1,2,0,0,0,1
6,-1.2432880347088398,-1.412423216989222,-1.2317550784044595,0.23911653644983813,1.739759470382838,-0.3377337476478009,-0.29453300810257316,0,2,2,3,0,2,1,1,0
20,0.7412490728047799,0.6564945404995554,0.5584124893650788,0.5582725741318387,0.36659475061494023,0.3665028970281854,0.3117463778652106,3,1,3,3,1,2,3,0,1
6,-1.5871819397215463,-1.377941254364409,-1.6003189894158352,-1.675819689642165,2.2051455556588393,2.3091810852340995,2.681846072171308,0,2,2,3,0,2,1,1,0
26,-1.4090060282208396,-1.377941254364409,-1.1966537535462334,-1.037507614278164,1.648918574201375,1.4296245434310788,1.2415373809587626,0,2,2,3,0,2,1,1,0
4,-0.44295447076470773,-0.736576749542888,0.1371965910663639,0.4518872282378385,-0.10105581909602714,-0.33284962573537225,0.06199738726065938,0,2,3,3,1,2,2,1,0
6,-1.043278468421999,-1.391734039414334,-1.5476670021284957,1.26041585703224,2.153940848540564,-1.754163652049359,-1.9507040308883055,0,2,2,3,1,2,1,1,0
6,-1.4856176098076876,-1.27449536648997,-1.407261702695591,-1.569434343748165,1.7935485195243164,2.000236799117263,2.20860484685198,0,2,2,3,0,2,1,1,0
6,-0.9799368765149734,-1.2055314412403442,-1.0913497789715547,0.5582725741318387,1.3156564719409094,-0.6730151408981124,-0.6092706503846631,0,2,2,3,1,2,2,1,0
7,-1.1799095304522174,-1.412423216989222,-1.5301163396993827,0.4518872282378385,2.161171842885975,-0.6382560126240306,-0.6914400316281809,0,2,2,3,1,2,1,1,0
20,-1.13142515925765,-1.0331216281162794,-0.6701338806728397,-0.9311222683841639,0.6923298058566046,0.9619625538883707,0.6239765790931772,0,2,2,3,0,2,1,1,0
6,-1.0950480387306256,-1.308977329114783,-1.424812365124704,0.5582725741318387,1.8650470841906521,-0.730766143005129,-0.7954336667330418,0,2,2,3,1,2,1,1,0
26,1.1564207248876888,0.932350241498059,1.0849323622384726,1.4093553412838402,1.0115369499420994,1.3140127928025678,1.5290552196524854,3,1,3,3,1,2,0,0,1
